Rajwant Singh,"Reviewed in the United States on April 9, 2018",5.0 out of 5 stars,Great service. Delivered as promised. Will buy again,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
tracey thompson and tony bernards,"Reviewed in the United States on April 13, 2019",5.0 out of 5 stars,"I found the book very readable, practical and relevant to 21st century life. Nothing new, but gathered together multiple sources to enable the reader to put the theory into practice.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Shaun Marais,"Reviewed in the United States on April 9, 2016",4.0 out of 5 stars,I think it's easy to criticize but we must keep in mind that Ryan Holiday wrote this book at the age of 28. I think this is a great introduction to Stoicism and I think that Holiday really shows a lot of practical ways in which we can introduce Stoicism into our lives and apply it to the myriad of obstacles we face.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Nicole C.,"Reviewed in the United States on June 7, 2018",2.0 out of 5 stars,book was ok,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Nefistofelico,"Reviewed in the United States on April 26, 2019",5.0 out of 5 stars,Amazing book.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Jonny Sorensen,"Reviewed in the United States on October 6, 2014",4.0 out of 5 stars,"Excellent book on how to apply modern Stoic philosophy. Fits in with Spartan value, Samurai, martial arts, sports, and that sort of thing - but can apply to ANY field or endeavour in life.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Nic Donarski,"Reviewed in the United States on October 7, 2018",5.0 out of 5 stars,Excellent,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Miguel salvatierra,"Reviewed in the United States on January 30, 2018",5.0 out of 5 stars,"Excelent book, easy to read, and full of wisdom, the best book to read in 2018",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Stanley Seabrook jr,"Reviewed in the United States on February 19, 2020",5.0 out of 5 stars,Excellent book for personal growth,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Client d'Amazon,"Reviewed in the United States on February 19, 2017",5.0 out of 5 stars,"This book basically tells you that the obstacle is the way ;). That failure is good. That after an obstacle comes another and another, harder and harder. It really tells you how to overcome obstacles and change your perspective about them. Alright, I said enough now it's your turn to read it!",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
